License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
2188338,"FARM DISTILLER ""D""",207,DD,Albany,2,JEFFERSON,CLAYTON DISTILLERY LLC,CLAYTON DISTILLERY,40164 NYS RTE 12,,CLAYTON,NY,13624,887032,2/11/2013,2/1/2017,1/31/2020,44.24872128,-76.04882538,"(44.24872128, -76.04882538)"
2187931,"FARM DISTILLER ""D""",207,DD,Albany,2,JEFFERSON,DARK ISLAND SPIRITS INC,DARK ISLAND SPIRITS,42 CHURCH ST,,ALEXANDRIA BAY,NY,13607,918599,7/17/2014,7/1/2019,6/30/2022,44.33594608,-75.91773858,"(44.33594608, -75.91773858)"
2203757,"FARM DISTILLER ""D""",207,DD,Albany,2,JEFFERSON,SAINT LAWRENCE SPIRITS LLC,SAINT LAWRENCE SPIRITS,38289 RTE 12E,,CLAYTON,NY,13624,914406,6/28/2016,6/1/2019,5/31/2022,44.22415,-76.12225,"(44.22415, -76.12225)"
2199303,FARM WINERY,302,FW,Albany,2,JEFFERSON,DELUKE LAWNSCAPES INC,NORTHERN FLOW VINEYARDS,40635 RTE 12,,CLAYTON,NY,13624,899788,6/5/2015,6/1/2018,5/31/2021,44.25558,-76.02876,"(44.25558, -76.02876)"
2183953,FARM WINERY,302,FW,Albany,2,JEFFERSON,"CAPE WINERY LLC, THE",THE CAPE WINERY,2066 DEERLICK RD,,CAPE VINCENT,NY,13618,919570,8/7/2012,8/1/2019,7/31/2022,44.1050488,-76.32817679,"(44.1050488, -76.32817679)"
2169478,FARM WINERY,302,FW,Albany,2,JEFFERSON,VENDITTI VINEYARDS INC,,42780 NEW CONNECTICUT RD,MOSKULLUNGE LAKE ROD & ROSSIE,ANTWERP,NY,13608,883974,9/29/2011,9/1/2016,8/31/2019,44.28625331,-75.68036407,"(44.28625331, -75.68036407)"
2604632,FARM WINERY,302,FW,Albany,2,JEFFERSON,OTTER CREEK WINERY LLC,OTTER CREEK WINERY,33109 RUDES ROAD,,PHILADELPHIA,NY,13673,883828,9/26/2006,9/1/2016,8/31/2019,44.19261719,-75.71096433,"(44.19261719, -75.71096433)"
2197995,FARM WINERY,302,FW,Albany,2,JEFFERSON,GRINDSTONE ISLAND WINERY CORP,,42811 SCHOOL HOUSE RD,GRINDSTONE ISLAND,CLAYTON,NY,13624,895025,1/8/2015,1/1/2018,12/31/2020,44.28605,-76.0986,"(44.28605, -76.0986)"
2117854,FARM WINERY,302,FW,Albany,2,JEFFERSON,THOUSAND ISLANDS WINERY LLC,THOUSAND ISLANDS WINERY,43298 SEAWAY AVE SUITE #1,,ALEXANDRIA BAY,NY,13607,913774,11/25/2003,5/1/2019,4/30/2022,44.29304343,-75.98297363,"(44.29304343, -75.98297363)"
2195360,FARM WINERY,302,FW,Albany,2,JEFFERSON,MARY ELLEN SURDO,YELLOW BARN WINERY,18876 COUNTY RTE 66,,WATERTOWN,NY,13601,888825,4/7/2014,4/1/2017,3/31/2020,0,0,"(0.0, 0.0)"
2607022,FARM WINERY,302,FW,Albany,2,JEFFERSON,COYOTE MOON LLC,COYOTE MOON VINEYARDS,17371 COUNTY ROUTE 3,,CLAYTON,NY,13624,914388,4/10/2009,4/1/2019,3/31/2022,44.23821833,-76.01606704,"(44.23821833, -76.01606704)"
2211651,MICRO BREWER,101,MI,Albany,2,JEFFERSON,BOOTS BREWING COMPANY INC,,89 PUBLIC SQ,,WATERTOWN,NY,13601,914658,5/24/2018,5/1/2019,4/30/2020,43.97485,-75.90891,"(43.97485, -75.90891)"
2211992,MICRO BREWER,101,MI,Albany,2,JEFFERSON,RIVER HENS LLC,GARLAND CITY BEER WORKS,321 HOWK ST,,WATERTOWN,NY,13601,919713,8/30/2018,8/1/2019,7/31/2020,43.98093,-75.91851,"(43.98093, -75.91851)"
2160203,MICRO BREWER,101,MI,Albany,2,JEFFERSON,SACKETS HARBOR BREW PUB LLC,SACKETS HARBOR BREWING COMPANY,212 W MAIN ST,,SACKETS HARBOR,NY,13685,913811,3/17/2011,3/6/2019,2/29/2020,43.9472895,-76.12068874,"(43.9472895, -76.12068874)"
1281413,BREWER,101,D,New York City,1,KINGS,AMERICAN CRAFT BREWERY LLC,CONEY ISLAND BREWING COMPANY,1904 SURF AVE RETAIL THREE,,BROOKLYN,NY,11224,918971,6/23/2015,7/1/2019,6/30/2020,40.57504,-73.98557,"(40.57504, -73.98557)"
1010943,BREWER,101,D,New York City,1,KINGS,"BROOKLYN BREWERY CORP,THE",THE BROOKLYN BREWERY,79 N 11TH STREET,,BROOKLYN,NY,11249,919182,,7/1/2019,6/30/2020,40.72174011,-73.95797497,"(40.72174011, -73.95797497)"
1257588,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,VAN BRUNT STILLHOUSE LLC,,6 BAY ST 1ST FL,OTSEGO & SIGOURNEY STREETS,BROOKLYN,NY,11231,897033,1/31/2012,2/21/2018,12/31/2020,40.67373651,-74.01005811,"(40.67373651, -74.01005811)"
1312233,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,PROOF OF CONCEPT LLC,,86 34TH ST,C134,BROOKLYN,NY,11232,999999,10/3/2018,12/1/2018,11/30/2021,40.7588,-73.92481,"(40.7588, -73.92481)"
1296030,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,SADDEN BROTHERS & CO DISTILLING CORP,,69 POWELL ST,,BROOKLYN,NY,11212,889355,5/18/2017,5/18/2017,4/30/2020,40.6729,-73.90464,"(40.6729, -73.90464)"
1236028,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,NEW YORK DISTILLING COMPANY LLC,NEW YORK DISTILLING,405 LEONARD STREET,RICHARDSON & BAYARD STREETS,BROOKLYN,NY,11222,891938,8/9/2011,8/1/2017,7/31/2020,40.71855442,-73.94851072,"(40.71855442, -73.94851072)"
1285158,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,BEN FRANKLIN DISTILLERY LLC,,5304 NEW UTRECHT AVE,UNIT 317-320,BROOKLYN,NY,11219,911319,12/2/2015,12/11/2018,11/30/2021,40.63313,-73.99545,"(40.63313, -73.99545)"
1290949,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,HEIGHTS DISTILLING COMPANY INC,,63 FLUSHING AVE SUITE 223,UNIT 329 BKLYN NAV YRD BLDG280,BROOKLYN,NY,11205,912329,1/25/2016,1/1/2019,12/31/2021,40.69823,-73.97516,"(40.69823, -73.97516)"
1294888,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,MOTO SPIRITS LLC,VRW DISTILLERS,5 CENTRAL AVE,SUITE 10,BROOKLYN,NY,11206,919668,8/18/2016,8/1/2019,7/31/2022,40.70263,-73.93291,"(40.70263, -73.93291)"
1272074,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,STANDARD SPIRIT CORPORATION,STANDARD SPIRIT DISTILLERY,630 FLUSHING AVE,STE 650,BROOKLYN,NY,11206,999999,9/25/2013,9/1/2019,8/31/2022,40.69999322,-73.94828041,"(40.69999322, -73.94828041)"
1289895,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,KINGS COUNTY DISTILLERY LLC,,63 FLUSHING AVE,BROOKLYN NAVY YARD BLDG 121,BROOKLYN,NY,11205,999999,5/9/2016,5/9/2016,4/30/2022,40.69823,-73.97516,"(40.69823, -73.97516)"
1259583,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,INDUSTRY CITY DISTILLERY INC,,33 35TH ST,BLDG 5 6TH FL  SUITE 6A SOUTH,BROOKLYN,NY,11232,896668,2/3/2012,2/6/2018,1/31/2021,40.6571926,-74.00766451,"(40.6571926, -74.00766451)"
1255727,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,GREEN FARMS II LLC,GREENHOOK GINSMITHS,208 DUPONT STREET,MCGUINNESS BLVD & PROVOST ST,BROOKLYN,NY,11222,893099,10/27/2011,10/1/2017,9/30/2020,40.73614003,-73.95179085,"(40.73614003, -73.95179085)"
1246881,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,WIDOW JANE DISTILLERIES LLC,,216 218 CONOVER ST,,BROOKLYN,NY,11231,898090,10/27/2011,3/28/2018,9/30/2020,40.67722296,-74.01534809,"(40.67722296, -74.01534809)"
1290991,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,DISRUPTION GRAIN LLC,INTERBORO SPIRITS & ALES,942 GRAND ST,,BROOKLYN,NY,11211,919326,7/28/2016,7/1/2019,6/30/2022,40.71272,-73.93697,"(40.71272, -73.93697)"
1286188,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,BITTER THIEVES LLC,FORTHAVE SPIRITS,630 FLUSHING AVE,,BROOKLYN,NY,11206,902635,9/1/2015,9/1/2018,8/31/2021,40.69994,-73.94827,"(40.69994, -73.94827)"
1299025,"DISTILLER ""A-1""",206,DA,New York City,1,KINGS,DOC'S SPIRITS LLC,DOC HERSON'S NATURAL SPIRITS,630 FLUSHING AVE,STE 628,BROOKLYN,NY,11206,886398,2/10/2017,2/10/2017,1/31/2020,40.69989,-73.94819,"(40.69989, -73.94819)"
1297848,"DISTILLER ""B-1""",205,DB,New York City,1,KINGS,BROOKLYN SPIRITS LLC,,1827 PACIFIC ST,,BROOKLYN,NY,11233,886343,1/26/2017,1/26/2017,8/31/2019,40.67662,-73.92881,"(40.67662, -73.92881)"
1311612,"DISTILLER ""B-1""",205,DB,New York City,1,KINGS,L'ORGEAT INC,HIGH HAT SPIRITS,71 VAN BRUNT ST,,BROOKLYN,NY,11231,849316,9/13/2018,9/13/2018,8/31/2021,40.68601,-74.00451,"(40.68601, -74.00451)"
1298020,"DISTILLER ""B-1""",205,DB,New York City,1,KINGS,COUNTRY HONK LLC,FIRMA LEGAL,1027 GRAND ST,BASEMENT LEVEL STUDIO A,BROOKLYN,NY,11211,889266,5/2/2017,5/2/2017,4/30/2020,40.71364,-73.93423,"(40.71364, -73.93423)"
1290992,FARM BREWER,106,FD,New York City,1,KINGS,DISRUPTION GRAIN LLC,INTERBORO SPIRITS & ALES,942 GRAND ST,,BROOKLYN,NY,11211,919337,7/28/2016,7/1/2019,6/30/2020,40.71272,-73.93697,"(40.71272, -73.93697)"
1310131,FARM BREWER,106,FD,New York City,1,KINGS,BRAVEN BREWING COMPANY LLC,,52 HARRISON PL,,BROOKLYN,NY,11237,999999,8/14/2018,8/14/2018,7/31/2021,40.70634,-73.93136,"(40.70634, -73.93136)"
1314052,FARM BREWER,106,FD,New York City,1,KINGS,DALEVIEW LLC,DALEVIEW BREWERY,1170 NOSTRAND AVE,CELLAR,BROOKLYN,NY,11225,903947,3/8/2019,3/8/2019,2/28/2020,40.65893,-73.95064,"(40.65893, -73.95064)"
1307278,FARM BREWER,106,FD,New York City,1,KINGS,5 BOROUGHS BREWERY INC,FIVE BOROUGHS BREWING CO,215 47TH ST,,BROOKLYN,NY,11220,999999,1/29/2018,1/29/2018,12/31/2020,40.67144,-73.93352,"(40.67144, -73.93352)"
1286968,FARM BREWER,106,FD,New York City,1,KINGS,STRONG ROPE BREWERY LLC,STRONG ROPE BREWERY,574A PRESIDENT ST,,BROOKLYN,NY,11215,909214,11/19/2015,11/1/2018,10/31/2019,40.67684,-73.98379,"(40.67684, -73.98379)"
1296141,FARM BREWER,106,FD,New York City,1,KINGS,KINGS COUNTY BREWERS COLLECTIVE LLC,,381 TROUTMAN ST,,BROOKLYN,NY,11237,999999,8/22/2016,8/1/2018,7/31/2020,40.70601,-73.92358,"(40.70601, -73.92358)"
1275174,FARM BREWER,106,FD,New York City,1,KINGS,OTHER HALF BREWING COMPANY INC,,195 CENTRE ST,AKA 191-197 CENTRE ST ETAL,BROOKLYN,NY,11231,999999,1/7/2014,5/1/2018,4/30/2021,40.67366514,-73.99909135,"(40.67366514, -73.99909135)"
1297587,FARM BREWER,106,FD,New York City,1,KINGS,ISLAND TO ISLAND BREWERY CORP,HOUSE OF JUICE,642 ROGERS AVE,,BROOKLYN,NY,11226,913466,1/11/2017,1/10/2019,12/31/2019,40.65582,-73.95318,"(40.65582, -73.95318)"
1298440,FARM BREWER,106,FD,New York City,1,KINGS,GRIMM ALES LLC,GRIMM,990 METROPOLITAN AVE,,BROOKLYN,NY,11211,881816,8/24/2017,8/24/2017,7/31/2020,40.7144,-73.93651,"(40.7144, -73.93651)"
1258274,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,KINGS COUNTY DISTILLERY LLC,,63 FLUSHING AVE,BROOKLYN NAVY YARD BLDG 121,BROOKLYN,NY,11205,999999,3/27/2012,3/14/2016,4/30/2022,40.69801436,-73.9750594,"(40.69801436, -73.9750594)"
1274648,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,VAN BRUNT STILLHOUSE LLC,VAN BRUNT STILLHOUSE,6 BAY ST,1ST FL BTWN OSTEGO & COLUMBIA,BROOKLYN,NY,11231,890047,4/28/2014,4/5/2017,3/31/2020,40.67378812,-74.01003348,"(40.67378812, -74.01003348)"
1302728,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,WIDOW JANE DISTILLERIES LLC,,216 218 CONOVER ST,,BROOKLYN,NY,11231,898089,8/1/2017,3/28/2018,7/31/2020,0,0,"(0.0, 0.0)"
1284184,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,INDUSTRY CITY DISTILLERY INC,,33 35TH ST,"BLDG 5, 6TH FL  SUITE 6A SOUTH",BROOKLYN,NY,11232,914542,5/6/2015,5/1/2019,4/30/2022,40.59885,-73.99062,"(40.59885, -73.99062)"
1269706,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,TWENTY SPOKE LLC,SAINT AGRESTIS,24 15TH ST UNIT 203,,BROOKLYN,NY,11215,889770,1/6/2014,3/24/2017,12/31/2019,40.66867499,-73.99571594,"(40.66867499, -73.99571594)"
1295016,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,MOTO SPIRITS LLC,VRW DISTILLERS,5 CENTRAL AVE,SUITE 10,BROOKLYN,NY,11206,919667,8/18/2016,8/1/2019,7/31/2022,40.70263,-73.93291,"(40.70263, -73.93291)"
1314201,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,STANDARD SPIRIT CORPORATION,STANDARD SPIRIT DISTILLERY,630 FLUSHING AVE,STE 650,BROOKLYN,NY,11206,999999,1/28/2019,9/1/2019,8/31/2022,40.69989,-73.94819,"(40.69989, -73.94819)"
1272833,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,DOC'S SPIRITS LLC,DOC HERSON'S NATURAL SPIRITS,630 FLUSHING AVE SUITE 628,,BROOKLYN,NY,11206,884963,10/30/2013,10/4/2016,9/30/2019,40.69999322,-73.94828041,"(40.69999322, -73.94828041)"
1234979,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,BREUCKELEN DISTILLING COMPANY INC,NEW ORANGE,75 77 19TH STREET UNIT A,,BROOKLYN,NY,11232,918071,6/4/2010,6/1/2019,5/31/2022,40.63143857,-74.03407022,"(40.63143857, -74.03407022)"
1260024,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,GREEN FARMS II LLC,GREENHOOK GINSMITHS,208 DUPONT ST,,BROOKLYN,NY,11222,888000,1/2/2013,1/24/2017,12/31/2019,40.73619511,-73.95179315,"(40.73619511, -73.95179315)"
1290994,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,DISRUPTION GRAIN LLC,INTERBORO SPIRITS & ALES,942 GRAND ST,,BROOKLYN,NY,11211,919330,7/28/2016,7/1/2019,6/30/2022,40.71272,-73.93697,"(40.71272, -73.93697)"
1312227,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,PROOF OF CONCEPT LLC,,86 34TH ST,C134,BROOKLYN,NY,11232,999999,10/3/2018,12/1/2018,11/30/2021,40.7588,-73.92481,"(40.7588, -73.92481)"
1296031,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,SADDEN BROTHERS & CO DISTILLING CORP,,69 POWELL ST,,BROOKLYN,NY,11212,889356,5/18/2017,5/18/2017,4/30/2020,40.6729,-73.90464,"(40.6729, -73.90464)"
1305188,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,MKJ INNOVATIONS CORP,,36 WAVERLY AVE,UNIT 207,BROOKLYN,NY,11205,903165,4/3/2018,8/1/2018,7/31/2021,40.69672,-73.96862,"(40.69672, -73.96862)"
1236027,"FARM DISTILLER ""D""",207,DD,New York City,1,KINGS,NEW YORK DISTILLING COMPANY LLC,NEW YORK DISTILLING,405 LEONARD STREET,RICHARDSON & BAYARD STREETS,BROOKLYN,NY,11222,880975,8/9/2011,8/1/2016,7/31/2020,40.71855442,-73.94851072,"(40.71855442, -73.94851072)"
1268251,MICRO BREWER,101,MI,New York City,1,KINGS,7 N 15TH ST CORP,GREENPOINT BEER & ALE CO,7 N 15TH ST,,BROOKLYN,NY,11222,919542,8/7/2013,8/1/2019,7/31/2020,40.72495122,-73.95731001,"(40.72495122, -73.95731001)"
1188563,MICRO BREWER,101,MI,New York City,1,KINGS,"MAD SCIENTISTS BREWING PARTNERS,LLC","SIXPOINT CRAFT ALES,SIXPOINT BREWERY",40 VAN DYKE ST,DWIGHT ST & RICHARDS ST,BROOKLYN,NY,11231,908564,11/6/2007,11/1/2018,10/31/2019,40.67385407,-74.01204466,"(40.67385407, -74.01204466)"
1315626,MICRO BREWER,101,MI,New York City,1,KINGS,TRANSMITTER BREWING LLC,,141 FLUSHING AVE,"BLDG 77, SUITE 104",BROOKLYN,NY,11205,915634,5/6/2019,5/6/2019,2/29/2020,40.69791,-73.97116,"(40.69791, -73.97116)"
1310132,MICRO BREWER,101,MI,New York City,1,KINGS,BRAVEN BREWING COMPANY LLC,,52 HARRISON PL,,BROOKLYN,NY,11237,999999,8/14/2018,8/14/2018,7/31/2021,40.70634,-73.93136,"(40.70634, -73.93136)"
1266867,MICRO BREWER,101,MI,New York City,1,KINGS,OTHER HALF BREWING COMPANY INC,,195 CENTRE ST,AKA 191-197 CENTRE ST ETAL,BROOKLYN,NY,11231,999999,5/2/2013,5/1/2018,4/30/2021,40.67366514,-73.99909135,"(40.67366514, -73.99909135)"
1276638,MICRO BREWER,101,MI,New York City,1,KINGS,FOLKSBIER BRAUEREI LLC,FOLKSBIER,103 LUQUER ST,,BROOKLYN,NY,11231,915211,5/5/2014,5/6/2019,4/30/2020,40.6779,-74.00099,"(40.6779, -74.00099)"
1272700,MICRO BREWER,101,MI,New York City,1,KINGS,THREEFOLD HOLDINGS LLC,THREES BREWING,333 339 DOUGLAS ST,,BROOKLYN,NY,11217,909032,11/6/2014,11/1/2018,10/31/2019,40.6795921,-73.98219455,"(40.6795921, -73.98219455)"
1290462,MICRO BREWER,101,MI,New York City,1,KINGS,KINGS COUNTY BREWERS COLLECTIVE LLC,,381 TROUTMAN ST,,BROOKLYN,NY,11237,999999,6/9/2016,8/1/2018,7/31/2020,40.70601,-73.92358,"(40.70601, -73.92358)"
1298441,MICRO BREWER,101,MI,New York City,1,KINGS,GRIMM ALES LLC,GRIMM,990 METROPOLITAN AVE,,BROOKLYN,NY,11211,881817,8/24/2017,8/24/2017,7/31/2020,40.7144,-73.93651,"(40.7144, -73.93651)"
1293083,MICRO BREWER,101,MI,New York City,1,KINGS,5 BOROUGHS BREWERY INC,FIVE BOROUGHS BREWING CO,215 47TH ST,,BROOKLYN,NY,11220,895629,1/26/2017,1/1/2018,12/31/2020,40.65059,-74.01478,"(40.65059, -74.01478)"
1290993,MICRO BREWER,101,MI,New York City,1,KINGS,DISRUPTION GRAIN LLC,INTERBORO SPIRITS & ALES,942 GRAND ST,,BROOKLYN,NY,11211,919325,7/28/2016,7/1/2019,6/30/2020,40.71272,-73.93697,"(40.71272, -73.93697)"
1294670,RESTAURANT BREWER,210,MR,New York City,1,KINGS,77 SANDS RG LLC,RANDOLPH BEER,77 SANDS ST,,BROOKLYN,NY,11201,882144,11/8/2017,11/8/2017,10/31/2020,40.70032,-73.98723,"(40.70032, -73.98723)"
1278758,RESTAURANT BREWER,210,MR,New York City,1,KINGS,KILLOWEN INC,KEG & LANTERN,95 97 NASSAU AVE,LEONARD ST & MANHATTAN AVE,BROOKLYN,NY,11222,892070,8/18/2014,8/1/2017,7/31/2020,0,0,"(0.0, 0.0)"
1299990,RESTAURANT BREWER,210,MR,New York City,1,KINGS,BEERBERRY CORP,TAP BEER,1781 SHEEPSHEAD BAY RD,,BROOKLYN,NY,11235,882253,12/4/2017,12/4/2017,11/30/2020,40.58358,-73.95035,"(40.58358, -73.95035)"
1294718,RESTAURANT BREWER,210,MR,New York City,1,KINGS,141 LAWRENCE REST LLC,CIRCA BREWING COMPANY,141 LAWRENCE ST,,BROOKLYN,NY,11201,881661,7/19/2017,7/19/2017,6/30/2020,40.69198,-73.9862,"(40.69198, -73.9862)"
1238306,WINERY,301,DW,New York City,1,KINGS,COIFFE CELLARS CORP,MA LUNG WINERY,276 GREENPOINT AVE,UNIT 8125,BROOKLYN,NY,11222,886225,10/28/2010,10/1/2016,9/30/2019,40.73071874,-73.94879976,"(40.73071874, -73.94879976)"
1304265,WINERY,301,DW,New York City,1,KINGS,GOTHAM SAKE LLC,BROOKLYN KURA,68 34TH ST,BLDG 6 STE B24,BROOKLYN,NY,11232,894946,10/16/2017,10/16/2017,9/30/2020,40.75924,-73.92449,"(40.75924, -73.92449)"
1256472,WINERY,301,DW,New York City,1,KINGS,RED HOOK WINERY LLC,RED HOOK WINERY,204 VAN DYKE ST SUITE 325A,FERRIS & CONOVER,BROOKLYN,NY,11231,920034,9/15/2011,9/1/2019,8/31/2022,,,
1275362,WINERY,301,DW,New York City,1,KINGS,GOBLET WINE INC,GOBLET,6010 20TH AVE,,BROOKLYN,NY,11204,892457,7/21/2014,7/1/2017,6/30/2020,40.61930923,-73.98296096,"(40.61930923, -73.98296096)"
1244749,WINERY,301,DW,New York City,1,KINGS,BROOKLYN WINERY LLC,BROOKLYN WINERY,213 N 8TH STREET,DRIGGS & ROEBLING,BROOKLYN,NY,11211,911376,1/7/2011,1/1/2019,12/31/2021,40.71721959,-73.95512328,"(40.71721959, -73.95512328)"
1308738,WINERY,301,DW,New York City,1,KINGS,GREEN FARMS II LLC,,208 DUPONT ST,,BROOKLYN,NY,11222,898275,6/11/2018,6/11/2018,5/31/2021,40.73616,-73.95109,"(40.73616, -73.95109)"
1308030,WINERY,301,DW,New York City,1,KINGS,ARON ROSENBERG ENTERPRISES LLC,BEN ISH WINERY,3711 13TH AVE,,BROOKLYN,NY,11218,898059,3/19/2018,3/19/2018,3/31/2020,40.64141,-73.98527,"(40.64141, -73.98527)"
2213025,FARM BREWER,106,FD,Albany,2,LEWIS,RC SPOT LLC,SKEWED BREWING,5501 TRINITY AVE,,LOWVILLE,NY,13367,99999,8/17/2018,8/1/2019,7/31/2021,43.79051,-75.48777,"(43.79051, -75.48777)"
2206038,"FARM DISTILLER ""D""",207,DD,Albany,2,LEWIS,NORTH COUNTRY LANDSCAPING & NURSERY INC,TUG HILL VINEYARDS,4051 YANCEY RD,,LOWVILLE,NY,13367,889129,3/29/2017,3/29/2017,2/29/2020,43.82181,-75.57846,"(43.82181, -75.57846)"
2148126,FARM WINERY,302,FW,Albany,2,LEWIS,NORTH COUNTRY LANDSCAPING & NURSERY INC,TUG HILL VINEYARDS,4051 YANCEY ROAD,STATE RT 12 & PORTER RD,LOWVILLE,NY,13367,883989,9/18/2009,9/1/2016,8/31/2019,43.81974097,-75.57570857,"(43.81974097, -75.57570857)"
2204298,FARM WINERY,302,FW,Albany,2,LEWIS,WHITE CAPS WINERY LLC,WHITE CAPS WINERY,4051 YANCEY RD,,LOWVILLE,NY,13367,848608,2/1/2017,2/1/2017,1/31/2020,44.05807,-76.13804,"(44.05807, -76.13804)"
2213024,MICRO BREWER,101,MI,Albany,2,LEWIS,RC SPOT LLC,SKEWED BREWING,5501 TRINITY AVE,,LOWVILLE,NY,13367,99999,8/17/2018,8/1/2019,7/31/2021,43.79051,-75.48777,"(43.79051, -75.48777)"
3159060,FARM BREWER,106,FD,Buffalo,3,LIVINGSTON,BATTLE STREET BREWERY LLC,,4 BATTLE ST,,DANSVILLE,NY,14437,911204,1/30/2018,1/1/2019,12/31/2019,42.56153,-77.69897,"(42.56153, -77.69897)"
3154931,FARM BREWER,106,FD,Buffalo,3,LIVINGSTON,DUBLIN CORNERS FARM BREWERY LLC,,1906 MAIN ST,,LINWOOD,NY,14486,914048,4/1/2015,4/1/2019,3/31/2020,42.90296,-77.88078,"(42.90296, -77.88078)"
3161759,FARM BREWER,106,FD,Buffalo,3,LIVINGSTON,NO BS BREW COMPANY LLC,,3474 BRONSON HILL RD,,LIVONIA,NY,14487,99999,1/30/2019,1/30/2019,12/31/2021,42.83377,-77.69192,"(42.83377, -77.69192)"
3160477,FARM BREWER,106,FD,Buffalo,3,LIVINGSTON,RISING STORM BREWING COMPANY LLC,,5750 S LIMA RD,UNIT 1,LIVONIA,NY,14414,999999,6/13/2018,6/13/2018,5/31/2021,42.85495,-77.70637,"(42.85495, -77.70637)"
3158132,FARM WINERY,302,FW,Buffalo,3,LIVINGSTON,JANSTAN VINEYARDS LLC,JANSTAN VINEYARDS,6442 STAGECOACH RD,,CONESUS,NY,14435,889369,5/19/2017,5/19/2017,4/30/2020,42.70685,-77.67581,"(42.70685, -77.67581)"
3156512,FARM WINERY,302,FW,Buffalo,3,LIVINGSTON,OLD STUMPBLOWER CIDER WORKS LLC,ORIGINAL STUMP BLOWER CIDERWORKS; OSB CIDERWORKS,5901 BIG TREE RD,,LAKEVILLE,NY,14480,913278,3/24/2016,3/1/2019,2/28/2022,42.83573,-77.69867,"(42.83573, -77.69867)"
3118005,FARM WINERY,302,FW,Buffalo,3,LIVINGSTON,DEER RUN ENTERPRISES INC,DEER RUN WINERY,3772 W LAKE RD,,GENESEO,NY,14454,884270,10/27/2003,10/1/2016,9/30/2019,42.82325628,-77.71606877,"(42.82325628, -77.71606877)"
3161760,MICRO BREWER,101,MI,Buffalo,3,LIVINGSTON,NO BS BREW COMPANY LLC,,3474 BRONSON HILL RD,,LIVONIA,NY,14487,99999,1/30/2019,1/30/2019,12/31/2021,42.83377,-77.69192,"(42.83377, -77.69192)"
3160492,MICRO BREWER,101,MI,Buffalo,3,LIVINGSTON,MORTALIS BREWING COMPANY LLC,MORTALIS BREWING COMPANY,5660 TEC DR,,AVON,NY,14414,918655,8/8/2018,8/1/2019,7/31/2020,42.91247,-77.70081,"(42.91247, -77.70081)"
3160478,MICRO BREWER,101,MI,Buffalo,3,LIVINGSTON,RISING STORM BREWING COMPANY LLC,,5750 S LIMA RD,UNIT 1,LIVONIA,NY,14414,9999999,6/13/2018,6/13/2018,5/31/2021,42.85495,-77.70637,"(42.85495, -77.70637)"
3111402,WINERY,301,DW,Buffalo,3,LIVINGSTON,EAGLE CREST VINEYARDS LLC,,7107 VINEYARD ROAD,,CONESUS,NY,14435,915225,6/20/2002,6/1/2019,5/31/2022,42.73981742,-77.62291699,"(42.73981742, -77.62291699)"
2204866,"DISTILLER ""A-1""",206,DA,Albany,2,MADISON,MADISON COUNTY DISTILLERY LLC,MADISON COUNTY DISTILLERY,2412 RTE 20,,CAZENOVIA,NY,13035,886080,11/14/2016,11/14/2016,10/31/2019,42.92302,-75.83548,"(42.92302, -75.83548)"
2207132,FARM BREWER,106,FD,Albany,2,MADISON,LARRY F FISHER AND KATHLYN W FISHER,FOOTHILL HOPS,5024 BEAR PATH RD,,MUNNSVILLE,NY,13409,918720,7/19/2017,7/1/2019,6/30/2020,42.96581,-75.58633,"(42.96581, -75.58633)"
