License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1275663,MICRO BREWER,101,MI,New York City,1,QUEENS,ROCKAWAY BREWING COMPANY LLC,,46-01 5TH ST,1ST FL,LONG ISLAND CITY,NY,11101,999999,4/28/2014,5/1/2018,4/30/2021,40.74711952,-73.95507195,"(40.74711952, -73.95507195)"
1275403,MICRO BREWER,101,MI,New York City,1,QUEENS,LIC BREWERY LLC,LIC BEER PROJECT,39-28 23RD ST,,LONG ISLAND CITY,NY,11101,917501,4/8/2015,4/1/2019,3/31/2020,40.75522694,-73.93871007,"(40.75522694, -73.93871007)"
1306390,MICRO BREWER,101,MI,New York City,1,QUEENS,SEMB CF LLC,MIKKELLER BREWING NYC,123-01 ROOSEVELT AVE,"ROOM 01,R1,01",FLUSHING,NY,11368,910621,12/5/2017,12/13/2018,11/30/2019,40.75469,-73.84561,"(40.75469, -73.84561)"
1305699,MICRO BREWER,101,MI,New York City,1,QUEENS,ICONYC BREWING COMPANY LLC,,43-63 11TH ST,,LONG ISLAND CITY,NY,11101,894997,10/26/2017,10/26/2017,9/30/2020,40.75199,-73.92557,"(40.75199, -73.92557)"
1295133,MICRO BREWER,101,MI,New York City,1,QUEENS,DSCC VENTURES LLC,FIFTH HAMMER BREWING COMPANY,10-28 10-36 46TH AVE,,LONG ISLAND CITY,NY,11101,912579,3/13/2017,3/1/2019,2/29/2020,0,0,"(0.0, 0.0)"
1301415,MICRO BREWER,101,MI,New York City,1,QUEENS,QB COLLECTIVE LLC,QUEENS BREWERY,15-39 COVERT ST,,RIDGEWOOD,NY,11385,912340,1/31/2018,1/1/2019,12/31/2019,40.69455,-73.9043,"(40.69455, -73.9043)"
1286895,MICRO BREWER,101,MI,New York City,1,QUEENS,BRIDGE AND TUNNEL BREWERY LLC,,1535 DECATUR ST,,RIDGEWOOD,NY,11385,908917,11/3/2015,11/1/2018,10/31/2019,40.69387,-73.90249,"(40.69387, -73.90249)"
1300575,RESTAURANT BREWER,210,MR,New York City,1,QUEENS,ALEWIFE BREWING COMPANY LLC,ALEWIFE,5-14 51ST AVE,,LONG ISLAND CITY,NY,11101,882760,4/17/2018,4/17/2018,3/31/2021,40.74228,-73.95611,"(40.74228, -73.95611)"
2189396,FARM BREWER,106,FD,Albany,2,RENSSELAER,BLY HOLLOW BREWERY LLC,THE BEER DIVINER,243 BLY HOLLOW RD,,CHERRY PLAIN,NY,12040,913264,3/29/2013,3/1/2019,2/29/2020,42.63327117,-73.38064307,"(42.63327117, -73.38064307)"
2194793,FARM BREWER,106,FD,Albany,2,RENSSELAER,RARE FORM BREWING COMPANY LLC,,90 CONGRESS ST,,TROY,NY,12180,915041,5/28/2014,5/1/2019,4/30/2020,42.72868788,-73.68992903,"(42.72868788, -73.68992903)"
2191569,FARM BREWER,106,FD,Albany,2,RENSSELAER,S&S BREWERY INC,,274 MIDDLE RD,,NASSAU,NY,12123,911426,2/20/2014,2/1/2019,1/31/2020,42.49036434,-73.57288887,"(42.49036434, -73.57288887)"
2211332,FARM BREWER,106,FD,Albany,2,RENSSELAER,EMPORIUM FARM BREWERY LTD,,472 N GREENBUSH RD,,RENSSELAER,NY,12144,919754,7/23/2018,7/15/2019,6/30/2020,42.65991,-73.6928,"(42.65991, -73.6928)"
2190694,FARM BREWER,106,FD,Albany,2,RENSSELAER,BROWNS BREWING COMPANY LLC,,50 FACTORY HILL RD,,HOOSICK FALLS,NY,12090,918941,7/31/2013,7/1/2019,6/30/2020,42.9262765,-73.34406291,"(42.9262765, -73.34406291)"
2207537,FARM WINERY,302,FW,Albany,2,RENSSELAER,PATRIOTS HERITAGE CIDER LLC,,60 E SCHAGHTICOKE RD,,SCHAGHTICOKE,NY,12154,889456,6/7/2017,6/7/2017,3/31/2020,42.88483,-73.57821,"(42.88483, -73.57821)"
2203012,FARM WINERY,302,FW,Albany,2,RENSSELAER,EASTHOLLOWCIDERANDMEAD LLC,EAST HOLLOW CIDER,332 E HOLLOW RD,,PETERSBURGH,NY,12138,914909,7/15/2016,7/1/2019,6/30/2022,42.73742,-73.30777,"(42.73742, -73.30777)"
2134024,FARM WINERY,302,FW,Albany,2,RENSSELAER,BROOKVIEW STATION WINERY LLC,BROOKVIEW STATION WINERY AT GOOLD ORCHARDS,1297 BROOKVIEW STATION ROAD,S OLD POST RD & SIMMONS RD,CASTLETON,NY,12033,913759,4/12/2007,4/1/2019,3/31/2022,42.53778169,-73.7058314,"(42.53778169, -73.7058314)"
2009676,MICRO BREWER,101,MI,Albany,2,RENSSELAER,"TROY BREWING COMPANY INC, THE",BROWNS TAPROOM,417-419 RIVER STREET,,TROY,NY,12180,908516,5/7/2004,10/1/2018,9/30/2019,42.73574824,-73.68747887,"(42.73574824, -73.68747887)"
